,Informal Text,Expanded Meaning,Polarity
1930,"yo, dats da worst presentation i ever seen, r u serious?",yo that is the worst presentation i have ever seen are you serious,negative
1931,"bruh, u cost us big time, da boss gon be pissed!",brother you cost us big time the boss is going to be pissed,negative
1932,wtf u even doin? dats da 3rd mistake today!,what the fuck are you even doing thats the third mistake today,negative
1933,"yo, if u cant handle dis, quit b4 u bring us all down",yo if you cannot handle this quit before you bring us all down,negative
1934,"lmfao, u didnt even read da contract? smh, u dumb af",laughing my fucking ass off you didn t even read the contract shaking my head you re dumb as fuck,negative
1935,"bruh, dat proposal's a joke, no way da client buyin dis",brother that proposals a joke no way the client s buying this,negative
1936,"yo, stop actin like u know wtf u doin, u clueless",yo stop acting like you know what the fuck you are doing you are clueless,negative
1937,"wtf, u didnt send da invoice? rly? we need da money!",what the fuck you didn t send the invoice really we need the money,negative
1938,"lmfao, how u gon lose da account n act like it aint ur fault?",laughing my fucking ass off how are you going to lose the account and act like it s not your fault,negative
1939,"bruh, we all gon b outta jobs if u keep fuckin up",brother we re all going to be out of jobs if you keep fucking up,negative
1940,"yo, dat projectâ€™s a disaster n u still sittin on ur ass?",yo that project s a disaster and you are still sitting on your ass,negative
1941,wtf is dis shit? da boss gon kill u 4 dis!,what the fuck is this shit the boss is going to kill you for this,negative
1942,"lmfao, datâ€™s da dumbest budget plan i ever seen",laughing my fucking ass off that s the dumbest budget plan i ve ever seen,negative
1943,"bruh, dat client is done wit us n u actin like itâ€™s cool?",brother that client is done with us and you are acting like it s cool,positive
1944,"yo, stop slackin n get dis done b4 we lose another client",yo stop slacking and get this done before we lose another client,positive
1945,"wtf, dats da third time dis month u fucked up",what the fuck that s the third time this month you fucked up,negative
1946,"lmfao, dis team a joke b/c u cant manage shit",laughing my fucking ass off this team s a joke because you can t manage shit,negative
1947,"bruh, u gotta b dumber than a rock 2 fkn miss dat",brother you ve got to be dumber than a rock to fucking miss that,negative
1948,"yo, da bossâ€™s gon rip u apart in dat meeting, u done",yo the boss is going to rip you apart in that meeting you are done,positive
1949,wtf is takin so long? u had 2 weeks n still not done?,what the fuck is taking so long you had two weeks and still are not done,negative
1950,"yo, dat report's a mess, u betta fix dat b4 da review",yo that reports a mess you better fix that before the review,negative
1951,"lmfao, dat contract's a joke, u gon ruin dis company",laughing my fucking ass off that contract s a joke you are going to ruin this company,negative
1952,"bruh, u fuck up dis merger n da board gon fire u",brother you fuck up this merger and the boards going to fire you,negative
1953,"yo, u wastin time on bs, focus on da actual work",yo you are wasting time on bullshit focus on the actual work,negative
1954,wtf u mean u didnâ€™t follow up? dats ur whole job!,what the fuck do you mean you didn t follow up that s your whole job,negative
1955,"yo, dis is da last straw, da boss gon lose it on u",yo this is the last straw the boss is going to lose it on you,negative
1956,"lmfao, u expect a raise after dis shitshow? get real!",laughing my fucking ass off you expect a raise after this shitshow get real,negative
1957,"wtf, we lost da deal n u still actin like nothin happened?",what the fuck we lost the deal and you are still acting like nothing happened,negative
1958,"yo, if u dont fix dis, we all screwed, no joke",yo if you do not fix this we are all screwed no joke,negative
1959,"bruh, da whole dept talkin bout how u droppin da ball",brother the whole department s talking about how you are dropping the ball,positive
1960,"lmfao, datâ€™s da worst pitch i ever heard, we doomed",laughing my fucking ass off that s the worst pitch i ve ever heard we are doomed,negative
1961,"yo, wtf r u doin? da deadline was yesterday!",yo what the fuck are you doing the deadline was yesterday,negative
1962,"bruh, u still on dat report? r u serious?",brother you are still on that report are you serious,positive
1963,"lmfao, how tf u still workin here? u fuck up everything!",laughing my fucking ass off how the fuck are you still working here you fuck up everything,negative
1964,"yo, stop kissin da boss's ass n do ur damn job",yo stop kissing the bosss ass and do your damn job,positive
1965,u better fix dat shit rn b4 da boss fires ur dumbass,you better fix that shit right now before the boss fires your dumbass,negative
1966,wtf is dis? u call dis a presentation?,what the fuck is this you call this a presentation,negative
1967,"bruh, u really fucked up da whole project! smh",brother you really fucked up the whole project shaking my head,negative
1968,"yo, stop actin like a bigshot n actually deliver sumthin",yo stop acting like a bigshot and actually deliver something,negative
1969,"lmfao, how da fuck u miss dat meeting again?",laughing my fucking ass off how the fuck did you miss that meeting again,negative
1970,"yo, u tryna get fired? dats some dumb shit",yo you trying to get fired that s some dumb shit,negative
1971,"bruh, dis report's a joke, u rly think dis gonna fly?",brother this reports a joke you really think this is going to fly,negative
1972,"lmfao, dis whole team's a dumpster fire",laughing my fucking ass off this whole team is a dumpster fire,negative
1973,"yo, u still stuck on dat task? bruh, u useless af",yo you are still stuck on that task brother you are useless as fuck,negative
1974,"wtf, u cant handle even da basic shit?",what the fuck you cannot handle even the basic shit,negative
1975,"yo, da boss is gonna roast ur ass 4 dis mess",yo the boss is going to roast your ass for this mess,negative
1976,"lmfao, da client gon drop us cuz of ur dumbass",laughing my fucking ass off the client s going to drop us because of your dumbass,negative
1977,"bruh, how tf u screw up da contract?",brother how the fuck did you screw up the contract,negative
1978,wtf u doin? dis projectâ€™s gonna crash n burn,what the fuck are you doing this project s going to crash and burn,negative
1979,"yo, if u cant handle dis, jus quit, u worthless",yo if you cannot handle this just quit you are worthless,negative
1980,"lmfao, dis proposal is a fuckin joke",laughing my fucking ass off this proposal is a fucking joke,negative
1981,wtf is dis? u didnt even proofread dis bullshit,what the fuck is this you didn t even proofread this bullshit,negative
1982,"bruh, dats sum next level incompetence, smh",brother that s some next level incompetence shaking my head,negative
1983,"yo, u wanna stay in dis job? den stop fkn up",yo you want to stay in this job then stop fucking up,negative
1984,"lmfao, even a monkey cud do better dan dis shit",laughing my fucking ass off even a monkey could do better than this shit,negative
1985,"yo, dis client review gon destroy us if u keep messin up",yo this client review s going to destroy us if you keep messing up,negative
1986,"wtf, we lost da deal cuz u cant handle da basics",what the fuck we lost the deal because you cannot handle the basics,negative
1987,"bruh, u need 2 step up b4 we all get fired 4 ur bs",brother you need to step up before we all get fired for your bullshit,negative
1988,"lmfao, dis presentation looks like it was made by a child",laughing my fucking ass off this presentation looks like it was made by a child,negative
1989,"yo, da boss is gonna rip u apart in dat meeting",yo the boss is going to rip you apart in that meeting,positive
1990,"bruh, u gon cost us da whole contract if u keep slackin",brother you re going to cost us the whole contract if you keep slacking,negative
1991,"lmfao, dats da worst performance review i ever seen",laughing my fucking ass off that s the worst performance review i ve ever seen,negative
1992,"yo, u gotta b dumber dan i thought 2 mess up dis bad",yo you ve got to be dumber than i thought to mess up this bad,negative
1993,"wtf, u been workin here 4 years n still a fuck up",what the fuck you have been working here for four years and are still a fuckup,negative
1994,"yo, jus quit now, save da company da trouble",yo just quit now save the company the trouble,negative
1995,"lmfao, how da hell u manage 2 piss off every client?",laughing my fucking ass off how the hell did you manage to piss off every client,negative
1996,"bruh, i swear, u gon bring dis whole company down",brother i swear you are going to bring this whole company down,negative
1997,"yo, stop fuckin up, we aint got time 4 ur bs",yo stop fucking up we is not got time for your bullshit,negative
1998,"wtf, u cant even handle a basic spreadsheet?",what the fuck you cannot even handle a basic spreadsheet,negative
