Text,Meaning,Sentiment
_jonas101 WOW they`re totally amazing and they`re more than awesome,_jonas101 WOW they`re totally amazing and they`re more than awesome,positive
Just got laid off stupid economy!,Just got laid off stupid economy!,negative
http://twitpic.com/67i90 - My plans have been ruined,http://twitpic.com/67i90 - My plans have been ruined,negative
"nothing better than to have your Grandaughter smile and nothing feels better than that big hug!! Grandkids, what a hoot!","nothing better than to have your Grandaughter smile and nothing feels better than that big hug!! Grandkids, what a hoot!",positive
`Wake Up Darling`,`Wake Up Darling`,neutral
oh I know. and I aprreciate it it can be my back up plan,oh I know. and I aprreciate it it can be my back up plan,positive
"Yes, I would love some more cowbell!","Yes, I would love some more cowbell!",positive
Umm don`t ya mean ship,*Umm* don`t you mean ship,neutral
i really wanna go to australia and england.,i really wanna go to australia and england.,neutral
"I just slept that entire flight, and woke up to the fact that the girl beside me had been watching Chitty Chitty Bang Bang!","I just slept that entire flight, and woke up to the fact that the girl beside me had been watching Chitty Chitty Bang Bang!",neutral
just had a gym sesh.,just had a gym session.,neutral
Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room,Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room,negative
"Don`t think I`m gonna be able to go to see the JB 3D Concert...wrong time, no where very close by","Don`t think I`m gonna be able to go to see the JB 3D Concert...wrong time, no where very close by",negative
"I`m a sad panda, hulu doesn`t have the elephant show no Skinnamarinkydinkydink sing alongs for me.","I`m a sad panda, hulu doesn`t have the elephant show no Skinnamarinkydinkydink sing alongs for me.",negative
what`s up? what happened? DM me if you need to. TXT on my phone is defunk`d,what`s up? what happened? DM me if you need to. Text on my phone is defunk`d,neutral
is 500 words into a 10 minute speech on 80s teen movies. due wednesday. blah blah. can`t wait for the glenn ball!,is 500 words into a 10 minute speech on 80 seconds teen movies. due wednesday. blah blah. can`t wait for the glenn ball!,neutral
I`m gonna cry I went bad at my History test ! I really hate History !,I`m gonna cry I went bad at my History test ! I really hate History !,negative
"just got up, couldn`t sleep anymore i guess and im not really gonna go back to bed, im not really sleepy","just got up, couldn`t sleep anymore i guess and im not really gonna go back to bed, I'm not really sleepy",neutral
Going to work,Going to work,neutral
i agree with the whole Hollie thing,i agree with the whole Holy thing,neutral
_ Truetrue But he`s not! xD,_ Truetrue But he`s not! laugh out loud,positive
"Sad I missed going away party due to too much work, but I really am gonna miss that kid","Sad I missed going away party due to too much work, but I really  gonna miss that kid",negative
I`ve come to the conclusion that lemongrass chicken tastes like lysol - so much for lunch!,I`ve come to the conclusion that lemongrass chicken tastes like lysol - so much for lunch!,neutral
One of the most random phone calls ever. My god kill me now.,One of the most random phone calls ever. My god kill me now.,negative
& more #<3criminy cuteness! http://tinyurl.com/cd8yab #sinfest,and more #love criminy cuteness! http://tinyurl.com/cd8yab #sinfest,positive
"the neighborhood gas station is gone, kaput, out of business. No more convenient trips for ice or whatevs. over 3 miles now to travel..","the neighborhood gas station is gone, kaput, out of business. No more convenient trips for ice or whatever. over 3 miles now to travel..",negative
tomorrow`s mother`s day me n my sis gonna make an onigiri for our mom~!! its gonna be so kewl!! cant wait for tomorrow >_<,tomorrow`s mother`s day me and my sister gonna make an onigiri for our mom~!! its gonna be so kewl!! can't wait for tomorrow . *Yay*!!,positive
it makes me sad when people phones are sick,it makes me sad when people phones are sick,negative
taking care of sick children,taking care of sick children,positive
welcome to my life,welcome to my life,positive
"Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I`m excited to record that on Wednesday","Same here - events and writing songs. But I just finished my Teenage Mutant Ninja Turtles vs Mighty Morphin Power Rangers song, so I`m excited to record that on Wednesday",positive
yup! way to **** early and I`m already at work,yup! way to What The Fuck early and I`m already at work,neutral
oh sweet! I`ll definitely check it out when I get the chance...,oh sweet! I`ll definitely check it out when I get the chance...,positive
Youuuu`re an aaass my aaass loooool,You`re an ass my ass *lol* [laughed out loud],negative
"I want to ride my bicycle today, but it`s too cold and cloudy today","I want to ride my bicycle today, but it`s too cold and cloudy today",negative
important person? who?,important person? who?,neutral
"That`s not what said I like you, too, though. is going steady with , though.....","That`s not what said I like you, too, though. is going steady with , though.....",neutral
"Thank you! One day at a time, right?","Thank you! One day at a time, right?",positive
"I missed mine, too. Not fun...","I missed mine, too. Not fun...",negative
via : Found #geocache Head`s Up! http://coord.info/gc1ret6. Probably my only find of the day. http://bit.ly/JS3S4,via : Found #geocache Head`s Up! https://coord.info/gc1ret6. Probably my only find of the day. http://bit.ly/JS3S4,neutral
let me dream about my spock now goodnight,let me dream about my spock now goodnight,neutral
_e thanks for following me. Nice to meet you,_e thanks for following me. Nice to meet you,positive
Danny cut his beautiful curls,Danny cut his beautiful curls,negative
God is so good!!,God is so good!!,positive
forcing myself to watch the movie 1984 for my book report im lazy to read,forcing myself to watch the movie 1984 for my book report i am lazy to read,negative
"thanks amy, its full of hotness","thanks amy, its full of hotness",positive
don`t think i can take a needle. watched a horribly gory short film on drugs a few months ago. i`m scarred for life.,don`t think i can take a needle. watched a horribly gory short film on drugs a few months ago. i`m scarred for life.,negative
Just finished watching the last of Star Wars,Just finished watching the last of Star Wars,neutral
Thanks ? http://blip.fm/~5z6n8,Thanks ? http://blip.fm/~5z6n8,neutral
can`t be arsed to get out of bed hello sunshine,can`t be arsed to get out of bed hello sunshine,negative
Every pair of jeans I own nowadays is very tight. I think mah butt gettin big (oh!),Every pair of jeans I own nowadays is very tight. I think my butt getting big (oh!),negative
I bought two tops and a scarf yesterday...sister has successfully hijacked them this morning to wear to breakfast (after removing tags),I bought two tops and a scarf yesterday...sister has successfully hijacked them this morning to wear to breakfast (after removing tags),neutral
"btw, do you realize your profile pic makes you look much older than you say you are?","by the way, do you realize your profile picture makes you look much older than you say you are?",neutral
"Aw, sorry E. :/ I hope it looks up for you (lame ear) And there`s always next year! ****. Lamer ear :/ Fail. Uhh..Love ya E!","*Aww* [amuzed], sorry E. :/ I hope it looks up for you (lame ear) And there`s always next year! shit. Lamer ear :/ Fail. *Uhh*..Love you E!",neutral
tiny.cc doesn`t seem to load for me I was thinking on going to the batting cages but apparently you gotta book in adv,tiny.cc doesn`t seem to load for me I was thinking on going to the batting cages but apparently you gotta book in adventure,neutral
Cheese and Onion! Vinegar taste weird on crisps! England`s got loads of weird crisps flavorus lol.. What do you like ? x,Cheese and Onion! Vinegar taste weird on crisps! England`s got loads of weird crisps flavorus lol.. What do you like ? x,negative
Thank yooou! I might have to get it seen to... hm... ****,Thank you! I might have to get it seen to... *hm*... ****,positive
